,Crossdock Default2018 KD s0,Crossdock Default2018 KD s1,Crossdock Default2018 KD s2,Crossdock Default2018 KD s3,Crossdock Default2018 KD s4
1,32.91998360931921,33.392397480702755,33.018235968326174,33.17217956709821,32.83485681438193
2,39.95236136945424,40.21727901789289,40.10839550702538,40.02861391589172,39.47867285163021
3,43.27277836688477,43.38888580876911,43.29528469318255,43.27298321407865,42.77587522912144
4,45.4794185158947,45.5294732073649,45.36198366270362,45.21015907415783,44.93544344047733
5,47.16469848394196,47.1328993871364,46.947954058987186,46.93086815976586,46.7254872979529
6,48.20600641075881,48.18468442618825,47.98276879539172,48.11279158419322,47.91174259431352
7,48.947534527327775,49.0266673789298,48.80752215326817,48.856033985829086,48.67752407499186
8,49.48551547007914,49.68151959843995,49.49708920486236,49.61706720011919,49.34856995949116
9,50.02182440576224,50.194756166904085,49.945890023051724,50.03251926611305,49.87173361903453
