,Crossdock Default2018 s0,Crossdock Default2018 s1,Crossdock Default2018 s2,Crossdock Default2018 s3,Crossdock Default2018 s4,Redock Default2018 s0,Redock Default2018 s1,Redock Default2018 s2,Redock Default2018 s3,Redock Default2018 s4
1,33.15909502200282,34.18890992119436,32.62040268965342,33.49859656170962,33.693523106384234,31.3726283103825,31.352052374866258,30.659874393865564,29.97961306501668,32.015109810681594
2,40.88412854669035,40.69560860251339,39.96678741425658,40.43384988359709,40.59093968675293,38.484165685468504,38.81169902705002,38.34873366207482,38.1541079630226,38.56885885127074
3,44.640343165577235,43.80002697493167,43.93258204532925,44.64033735643147,44.13049093242735,41.81299668747726,42.0643274836652,41.60018780453792,42.291292248146995,42.3523110379056
4,46.560434733139765,45.67944033068636,46.2296654149552,47.06954166548203,46.13351484914603,44.10650256300109,44.16473807886091,43.67903348223891,44.52868350808554,45.207555942857894
5,48.69471953223462,47.16801965829225,48.271609695065195,48.63875813667222,48.070673249374906,46.02791503411727,45.68461168568076,45.38319835852961,46.0922599475873,46.75091928691468
6,49.66921883567764,48.39329044211972,49.3992703369611,49.70012616877499,49.556273259303985,47.37338002421438,47.138706579554956,46.601807114031615,47.48121852397972,47.75721937505196
7,50.45324195437847,50.268110319194214,50.27774302090705,50.499042199382984,50.297081316177184,48.336150973703504,48.085863843984114,47.8212847595898,48.40868173825026,49.077459016843314
8,51.13508303038603,51.080794331298804,50.95619453226784,51.13518424975892,51.03861957557556,49.15197075539242,48.874745584927446,48.76464189222563,49.065738803731385,49.80750489171912
9,51.7312381096773,51.62270717998779,51.48777406680453,51.776534610670524,51.55520064810952,49.80100345744005,49.6123640471489,49.543975526613885,49.906241815783915,50.33184577884015
